,T (degC)
5,-8.05
11,-8.88
17,-8.81
23,-9.05
29,-9.63
35,-9.67
41,-9.17
47,-8.1
53,-7.66
59,-7.04
65,-7.41
71,-6.87
77,-5.89
83,-5.94
89,-5.69
95,-5.4
101,-5.37
107,-5.25
113,-5.11
119,-4.9
125,-4.8
131,-4.5
137,-4.47
143,-4.54
149,-4.44
155,-4.29
161,-4.45
167,-4.58
173,-4.96
179,-4.43
185,-4.28
191,-4.33
197,-4.13
203,-3.93
209,-3.62
215,-3.12
221,-2.53
227,-2.56
233,-2.12
239,-2.76
245,-2.88
251,-3.07
257,-3.34
263,-3.3
269,-3.49
275,-4.02
281,-4.38
287,-4.71
293,-5.28
299,-6.23
305,-6.13
311,-6.21
317,-7.02
323,-8.2
329,-8.48
335,-9.28
341,-9.46
347,-8.53
353,-7.87
359,-5.96
365,-2.82
371,-2.15
377,-0.82
383,-2.8
389,-4.69
395,-4.08
401,-3.78
407,-3.84
413,-3.15
419,-2.76
425,-2.58
431,-1.9
437,-1.42
443,-2.22
449,-2.2
455,-1.88
461,-1.64
467,-1.44
473,-1.09
479,-0.89
485,-0.72
491,-1.37
497,-1.1
503,-1.21
509,-1.02
515,-0.77
521,-0.7
527,-1.05
533,-1.46
539,-1.51
545,-1.62
551,-1.56
557,-1.51
563,-1.43
569,-1.44
575,-1.47
581,-1.57
587,-1.6
593,-1.5
599,-1.76
605,-1.77
611,-1.76
617,-2.08
623,-2.72
629,-3.11
635,-3.29
641,-3.53
647,-3.65
653,-4.15
659,-4.57
665,-5.14
671,-5.74
677,-6.38
683,-6.85
689,-7.9
695,-9.13
701,-10.18
707,-10.6
713,-11.72
719,-12.63
725,-13.34
731,-13.64
737,-13.89
743,-14.29
749,-15.13
755,-15.37
761,-16.86
767,-16.92
773,-15.71
779,-15.23
785,-15.05
791,-14.52
797,-10.97
803,-11.9
809,-12.05
815,-13.52
821,-14.88
827,-16.49
833,-17.21
839,-18.35
845,-18.62
851,-19.39
857,-20.85
863,-21.09
869,-21.56
875,-20.99
881,-22.76
887,-22.39
893,-22.42
899,-22.13
905,-21.42
911,-22.5
917,-21.17
923,-20.34
929,-18.71
935,-16.5
941,-14.39
947,-12.15
953,-10.57
959,-9.58
965,-8.55
971,-7.98
977,-7.75
983,-7.85
989,-8.44
995,-9.41
1001,-10.68
1007,-10.78
1013,-11.92
1019,-11.64
1025,-12.96
1031,-12.31
1037,-12.2
1043,-11.4
1049,-10.9
1055,-10.01
1061,-10.04
1067,-8.07
1073,-6.53
1079,-6.84
1085,-4.27
1091,-4.73
1097,-4.27
1103,-4.97
1109,-7.77
1115,-8.65
1121,-10.23
1127,-10.67
1133,-11.59
1139,-12.1
1145,-13.25
1151,-13.91
1157,-14.46
1163,-15.15
1169,-15.74
1175,-16.29
1181,-16.65
1187,-16.64
1193,-16.29
1199,-17.02
1205,-16.18
1211,-15.23
1217,-12.89
1223,-10.47
1229,-6.43
1235,-4.91
1241,-3.69
1247,-4.75
1253,-8.27
1259,-9.15
1265,-10.47
1271,-11.93
1277,-11.73
1283,-12.27
1289,-12.67
1295,-13.24
1301,-13.86
1307,-14.52
1313,-14.61
1319,-14.59
1325,-15.34
1331,-15.22
1337,-15.36
1343,-15.46
1349,-15.09
1355,-12.71
1361,-9.97
1367,-7.48
1373,-5.02
1379,-3.82
1385,-2.24
1391,-3.16
1397,-6.59
1403,-7.7
1409,-9.5
1415,-9.44
1421,-10.31
1427,-11.22
1433,-11.43
1439,-10.75
1445,-11.77
1451,-11.8
1457,-11.71
1463,-13.18
1469,-12.81
1475,-12.45
1481,-12.98
1487,-13.4
1493,-11.55
1499,-10.25
1505,-8.18
1511,-7.12
1517,-4.55
1523,-2.72
1529,-1.31
1535,-0.33
1541,-3.95
1547,-5.13
1553,-7.01
1559,-8.27
1565,-8.67
1571,-8.37
1577,-9.44
1583,-8.96
1589,-8.8
1595,-8.29
1601,-8.75
1607,-9.6
1613,-10.37
1619,-10.76
1625,-9.66
1631,-9.34
1637,-8.68
1643,-8.0
1649,-5.7
1655,-3.64
1661,-0.49
1667,1.3
1673,2.32
1679,1.51
1685,-1.8
1691,-2.76
1697,-2.99
1703,-3.53
1709,-3.44
1715,-4.35
1721,-4.99
1727,-5.19
1733,-4.79
1739,-4.56
1745,-4.76
1751,-4.9
1757,-4.83
1763,-4.26
1769,-3.66
1775,-3.76
1781,-2.49
1787,-1.47
1793,1.24
1799,2.58
1805,3.75
1811,4.63
1817,4.89
1823,3.25
1829,0.42
1835,-0.8
1841,-2.03
1847,-1.57
1853,-2.46
1859,-4.01
1865,-4.53
1871,-4.41
1877,-5.9
1883,-7.53
1889,-6.73
1895,-8.39
1901,-10.12
1907,-9.4
1913,-9.88
1919,-10.21
1925,-10.01
1931,-8.25
1937,-6.26
1943,-4.68
1949,-0.74
1955,-1.99
1961,-1.69
1967,-1.13
1973,-1.24
1979,-1.51
1985,-1.72
1991,-1.69
1997,-1.1
2003,0.07
2009,0.37
2015,0.44
2021,0.57
2027,0.29
2033,0.16
2039,-0.35
2045,-0.29
2051,0.05
2057,-0.05
2063,-0.01
2069,0.04
2075,0.29
2081,1.33
2087,1.99
2093,2.04
2099,2.39
2105,4.52
2111,2.58
2117,0.44
2123,-0.48
2129,-1.63
2135,-2.89
2141,-3.21
2147,-3.37
2153,-3.57
2159,-4.03
2165,-4.1
2171,-4.61
2177,-4.84
2183,-5.11
2189,-5.21
2195,-4.73
2201,-4.3
2207,-4.27
2213,-4.51
2219,-4.39
2225,-4.19
2231,-2.85
2237,-1.15
2243,-0.05
2249,1.12
2255,0.38
2261,-0.63
2267,-0.72
2273,-1.36
2279,-1.78
2285,-2.03
2291,-2.2
2297,-2.41
2303,-2.3
2309,-2.57
2315,-2.35
2321,-1.99
2327,-2.04
2333,-2.13
2339,-2.1
2345,-1.52
2351,-1.24
2357,-1.06
2363,-0.49
2369,0.21
2375,0.7
2381,1.34
2387,1.77
2393,2.11
2399,2.07
2405,1.76
2411,1.7
2417,1.37
2423,1.09
2429,1.05
2435,1.67
2441,2.55
2447,1.94
2453,1.84
2459,1.65
2465,1.3
2471,0.98
2477,0.24
2483,0.04
2489,0.14
2495,1.56
2501,1.84
2507,2.82
2513,3.6
2519,5.05
2525,4.68
2531,4.01
2537,3.72
2543,2.95
2549,2.82
2555,3.07
2561,3.63
2567,3.47
2573,3.3
2579,3.17
2585,3.23
2591,2.89
2597,1.96
2603,1.17
2609,0.89
2615,1.27
2621,0.86
2627,1.52
2633,1.22
2639,0.84
2645,0.91
2651,0.75
2657,2.12
2663,3.12
2669,3.65
2675,3.62
2681,3.43
2687,3.41
2693,3.59
2699,3.63
2705,3.9
2711,3.7
2717,4.01
2723,4.27
2729,3.9
2735,4.08
2741,4.47
2747,5.07
2753,6.68
2759,6.24
2765,5.94
2771,5.33
2777,4.74
2783,4.64
2789,3.75
2795,4.13
2801,3.94
2807,4.25
2813,4.5
2819,4.52
2825,4.23
2831,3.57
2837,2.9
2843,1.57
2849,0.68
2855,-0.45
2861,-0.83
2867,-1.71
2873,-2.66
2879,-2.96
2885,-2.91
2891,-3.13
2897,-3.19
2903,-2.43
2909,-2.76
2915,-2.75
2921,-3.24
2927,-2.9
2933,-2.06
2939,-2.0
2945,-1.39
2951,-0.25
2957,0.29
2963,0.77
2969,1.3
2975,0.79
2981,0.63
2987,0.32
2993,-0.75
2999,-1.84
3005,-1.79
3011,-2.18
3017,-3.15
3023,-3.62
3029,-3.98
3035,-3.66
3041,-3.47
3047,-3.37
3053,-3.05
3059,-3.46
3065,-3.17
3071,-3.2
3077,-3.07
3083,-2.01
